,lon,lat,alt
81,-85.645,11.149,160.0
82,-85.545,11.149,177.0
77,-85.645,11.049,35.0
78,-85.545,11.049,267.0
79,-85.445,11.049,287.0
80,-85.345,11.049,328.0
74,-85.645,10.949,299.0
75,-85.545,10.949,309.0
76,-85.445,10.949,1048.0
70,-85.745,10.849,214.0
71,-85.645,10.849,301.0
72,-85.545,10.849,127.0
73,-85.445,10.849,450.0
65,-85.645,10.749,235.0
66,-85.545,10.749,76.0
67,-85.445,10.749,447.0
68,-85.345,10.749,628.0
69,-85.245,10.749,583.0
58,-85.645,10.649,136.0
59,-85.545,10.649,55.0
60,-85.445,10.649,144.0
61,-85.345,10.649,262.0
62,-85.245,10.649,358.0
63,-85.145,10.649,484.0
64,-85.045,10.649,823.0
50,-85.645,10.549,113.0
51,-85.545,10.549,33.0
52,-85.445,10.549,118.0
53,-85.345,10.549,115.0
54,-85.245,10.549,122.0
55,-85.145,10.549,138.0
56,-85.045,10.549,463.0
57,-84.945,10.549,540.0
40,-85.745,10.449,42.0
41,-85.645,10.449,160.0
42,-85.545,10.449,17.0
43,-85.445,10.449,7.0
44,-85.345,10.449,46.0
45,-85.245,10.449,43.0
46,-85.145,10.449,33.0
47,-85.045,10.449,232.0
48,-84.945,10.449,723.0
49,-84.845,10.449,675.0
29,-85.845,10.349,33.0
30,-85.745,10.349,86.0
31,-85.645,10.349,26.0
32,-85.545,10.349,15.0
33,-85.445,10.349,35.0
34,-85.345,10.349,132.0
35,-85.245,10.349,4.0
36,-85.145,10.349,13.0
37,-85.045,10.349,179.0
38,-84.945,10.349,616.0
39,-84.845,10.349,1297.0
20,-85.845,10.249,16.0
21,-85.745,10.249,209.0
22,-85.645,10.249,210.0
23,-85.545,10.249,53.0
24,-85.445,10.249,96.0
25,-85.345,10.249,6.0
26,-85.145,10.249,115.0
27,-85.045,10.249,50.0
28,-84.945,10.249,212.0
13,-85.745,10.149,131.0
14,-85.645,10.149,671.0
15,-85.545,10.149,572.0
16,-85.445,10.149,111.0
17,-85.345,10.149,33.0
18,-85.245,10.149,15.0
19,-84.945,10.149,119.0
7,-85.745,10.049,22.0
8,-85.645,10.049,302.0
9,-85.545,10.049,130.0
10,-85.445,10.049,348.0
11,-85.345,10.049,200.0
12,-85.245,10.049,17.0
3,-85.645,9.949,52.0
4,-85.545,9.949,376.0
5,-85.445,9.949,298.0
6,-85.345,9.949,125.0
1,-85.345,9.849,6.0
2,-85.245,9.849,53.0
0,-85.245,9.749,5.0
